Наименование,Цена,Количество
Шайба плоская увеличенная М16 (25 шт) DIN 9021,390₽/упак, 27 упак
Штанга резьбовая М6х2000 (1шт),42₽/шт, 55 шт
Штанга резьбовая М8х2000 (1шт),50₽/шт, 275 шт
Штанга резьбовая М10х2000 (1шт),73₽/шт, 245 шт
Штанга резьбовая М12х2000 (1шт),115₽/шт, 294 шт
Штанга резьбовая М16х2000 (1шт),240₽/шт, 188 шт
"Хомут нейлоновый белый 200х2,5мм (100шт)",69₽/упак, 193 упак
"Хомут нейлоновый белый 250х3,6 мм (100шт)",108₽/упак, 233 упак
"Хомут нейлоновый белый 300х3,6 мм (100шт)",125₽/упак, 523 упак
"Хомут нейлоновый белый 450х7,6мм (100шт)",515₽/упак, 53 упак
"Хомут нейлоновый белый 500х7,6мм (100шт)",570₽/упак, 128 упак
"Хомут нейлоновый чёрный 150х2,5 мм (100шт)",49₽/упак, 110 упак
"Хомут нейлоновый чёрный 200х3,6 мм (100шт)",105₽/упак, 102 упак
"Хомут нейлоновый чёрный 300х3,6мм (100шт)",125₽/упак, 185 упак
"Хомут нейлоновый чёрный 500х7,6мм (100шт)",570₽/упак, 42 упак
Хомут обжимной нержавеющая сталь 8-12мм,15₽/шт, 302 шт
Хомут обжимной нержавеющая сталь 10-16мм,15₽/шт, 4289 шт
Хомут обжимной нержавеющая сталь 12-20мм,15₽/шт, 1376 шт
Хомут обжимной нержавеющая сталь 16-27мм,20₽/шт, 12586 шт
Хомут обжимной нержавеющая сталь 20-32мм,21₽/шт, 980 шт
Хомут обжимной нержавеющая сталь 25-40мм,23₽/шт, 300 шт
Хомут обжимной нержавеющая сталь 32-50мм,25₽/шт, 8731 шт
Хомут обжимной нержавеющая сталь 40-60мм,27₽/шт, 2051 шт
Хомут обжимной нержавеющая сталь 50-70мм (47584),28₽/шт, 382 шт
Хомут обжимной нержавеющая сталь 70-90мм,37₽/шт, 2682 шт
Хомут обжимной нержавеющая сталь 80-100мм,39₽/шт, 681 шт
Хомут обжимной червячный сталь 16-27мм с пластиковой ручкой 47548,16₽/шт, 135 шт
Хомут обжимной сталь 30-45мм с пластиковой ручкой (47552),23₽/шт, 54 шт
"Хомут обжимной, червячный. сталь 8-12мм",13₽/шт, 407 шт
"Хомут обжимной, червячный. сталь 10-16мм",13₽/шт, 381 шт
"Хомут обжимной, червячный. сталь 16-27мм",17₽/шт, 3002 шт
"Хомут обжимной, червячный. сталь 20-32мм",21₽/шт, 4477 шт
"Хомут обжимной, червячный. сталь 25-40мм",22₽/шт, 1878 шт
"Хомут обжимной, червячный. сталь 32-50мм",22₽/шт, 653 шт
"Хомут обжимной, червячный. сталь 40-60мм",25₽/шт, 825 шт
"Хомут обжимной, червячный. сталь 50-70мм",26₽/шт, 806 шт
"Хомут обжимной, червячный. сталь 60-80мм",28₽/шт, 606 шт
"Хомут обжимной, червячный. сталь 70-90мм",28₽/шт, 76 шт
Зажим троса 3 мм DIN 741,6₽/шт, 192 шт
Зажим троса 5мм DIN 741,8₽/шт, 0 шт
Зажим троса 6мм DIN 741,9₽/шт, 200 шт
Зажим троса 8мм DIN 741,10₽/шт, 276 шт
Зажим троса 10мм DIN 741,14₽/шт, 346 шт
Зажим троса 3мм алюм. DIN 3093,4₽/шт, 107 шт
Зажим троса 4мм алюм. DIN 3093,6₽/шт, 70 шт
Зажим троса 5мм алюм. DIN 3093,10₽/шт, 122 шт
Зажим троса 6мм алюм. DIN 3093,13₽/шт, 60 шт
Зажим троса 8мм алюм. DIN 3093,19₽/шт, 59 шт
Зажим троса двойной 6мм ***,19₽/шт, 14 шт
Карабин винтовой оцинк. М4,14₽/шт, 77 шт
Карабин винтовой оцинк. М6,19₽/шт, 4 шт
Карабин винтовой оцинк. М8,31₽/шт, 5 шт
Карабин винтовой оцинк. М10,57₽/шт, 87 шт
Карабин винтовой оцинк. М12,135₽/шт, 25 шт
Карабин пожарный М4 DIN 5299С,13₽/шт, 35 шт
Карабин пожарный М6 DIN 5299С,16₽/шт, 41 шт
Карабин пожарный М8 DIN 5299С,39₽/шт, 64 шт
Карабин пожарный М10 DIN 5299С,48₽/шт, 45 шт
Карабин пожарный М12 DIN 5299С,119₽/шт, 15 шт
Коуш D 4.0мм DIN 6899,10₽/шт, 12 шт
Коуш D 5.0мм DIN 6899,12₽/шт, 146 шт
Коуш D 6.0мм DIN 6899,13₽/шт, 53 шт
Коуш D 8.0мм DIN 6899,19₽/шт, 67 шт
Коуш D 10.0мм DIN 6899,23₽/шт, 50 шт
Рым-болт М6 DIN 580,46₽/шт, 104 шт
Рым-болт М8 DIN 580,43₽/шт, 30 шт
Рым-болт М10 DIN 580,55₽/шт, 78 шт
Рым-гайка М6 DIN 582,32₽/шт, 15 шт
Рым-гайка М8 DIN 582,32₽/шт, 50 шт
Рым-гайка М10 DIN 582,40₽/шт, 0 шт
Талреп крюк-кольцо М5 DIN 1480,48₽/шт, 177 шт
Талреп крюк-крюк М6 DIN 1480,49₽/шт, 95 шт
Талреп крюк-крюк М8 DIN 1480,53₽/шт, 147 шт
Талреп крюк-крюк М10 DIN 1480,83₽/шт, 66 шт
Трос стальной d 3.0 мм (200 м) оцинк.,1620₽/упак, 2 упак
Трос стальной d 4.0 мм (250 м) оцинк.,2950₽/упак, 7 упак
Трос стальной d 5.0 мм (250 м) оцинк.,4550₽/упак, 7 упак
Трос стальной d 6.0 мм (250 м) оцинк.,6980₽/упак, 5 упак
Трос стальной d 8.0 мм (100 м) оцинк.,5780₽/упак, 7 упак
Трос стальной 10 .0 мм (100 м) оцинк.,7800₽/шт, 10 шт
Трос стальной 3.0/4.0 мм (250 м) в изоляции ПВХ,3000₽/упак, 1 упак
Трос стальной 4.0/6.0 мм (100 м) в изоляции ПВХ,2300₽/упак, 0 упак
Трос стальной 5.0/6.0 мм (100 м) в изоляции ПВХ,2700₽/упак, 0 упак
Трос стальной 8.0/10.0 мм (100 м) в изоляции ПВХ,7250₽/упак, 2 упак
Цепь D 3.0 мм (50м) длин. звено,1600₽/упак, 9 упак
Цепь D 4.0 мм (50м)длин. звено,2700₽/упак, 4 упак
Цепь D 5.0 мм (30м) длин. звено,2700₽/упак, 4 упак
Цепь D 6.0 мм (30м) длин. звено,3590₽/упак, 2 упак
Цепь D 8.0 мм (15м) длин. звено,3200₽/упак, 2 упак
Стремянка 3-х ст. алюминиевая,2580₽/шт, 9 шт
Стремянка 3-х ступенчатая двусторонняя алюм.,3100₽/шт, 12 шт
Стремянка 3-х ст. стальная с алюм. ступенями,1850₽/шт, 11 шт
Стремянка 4-х ступенчатая (алюм.),3130₽/шт, 14 шт
Стремянка 4-х ст. стальная с алюм. ступенями,2290₽/шт, 16 шт
Стремянка 5-ти ступенчатая (алюм.),3630₽/шт, 25 шт
Стремянка 5-ти ст. стальная с алюм. ступенями,2730₽/шт, 32 шт
Стремянка 6-ти ступенчатая (алюм.),4590₽/шт, 14 шт
Стремянка 6-ти ст. стальная с алюм. ступенями,3460₽/шт, 10 шт
Стремянка 7-ми ступенчатая (алюм.),5080₽/шт, 12 шт
Стремянка 7-ти ст. стальная с алюм. ступенями,3990₽/шт, 13 шт
Стремянка 8-ми ступенчатая (алюм.),5750₽/шт, 14 шт
Стремянка 8-ти ст. стальная с алюм. ступенями,4500₽/шт, 5 шт
Стремянка 9-ти ст. стальная с алюм. ступенями,5100₽/шт, 5 шт
Стремянка 10-ти ст. стальная с алюм. ступенями,5620₽/шт, 8 шт
"Лестница 2-х секц.2х 7 ступ.(h-лест 3.18м, h-стрем 1.77м) 97907",6550₽/шт, 2 шт
"Лестница 2-х секц.2х 8 ступ.(h-лест 3.67м, h-стрем 2.0м) 97908",7380₽/шт, 2 шт
"Лестница 2-х секц.2х 9 ступ. (h-лест 3,96м, h-стрем 2.26м) 97909",8160₽/шт, 2 шт
"Лестница 2-х секц.2х10 ступ.(h-лест 4.5м, h-стрем 2.5м) 97910",9000₽/шт, 1 шт
"Лестница 2-х секц.2х12 ступ.(h-лест 5,53м, h-стрем 3.м) 97912",12130₽/шт, 3 шт
"Лестница 3-х секц.3х 7 ступ. (h-лест 4.48м, h-стрем 3,15м) 97817",9550₽/шт, 7 шт
"Лестница 3-х секц.3х 8 ступ. (h-лест 4,74м, h-стрем 3.41м) 97818",10845₽/шт, 5 шт
"Лестница 3-х секц.3х 9 ступ. (h-лест 5.52м, h-стрем 3.93м) 97819",12540₽/шт, 2 шт
"Лестница 3-х секц.3х10 ступ. (h-лест 6.3м, h-стрем 4.45м)",13650₽/шт, 3 шт
"Лестница 3-х секц.3х11 ступ.(h-лест 7,09м, h-стрем 5,41м)",16750₽/шт, 2 шт
"Лестница 3-х секц.3х12 ступ.(h-лест 8,19м, h-стрем 5.64м) 97822",17450₽/шт, 3 шт
"Лестница 3-х секц.3х14 ступ.(h-лест 9,74м, h-стрем 6.4м) 97824 негабаритный груз",22000₽/шт, 3 шт
"Лестница 3-х секц.3х17 ступ.(h-лест 12,83м, h-стрем 7,9м)/негабаритный груз",32890₽/шт, 0 шт
"Лестница 4-х секц.4х 4 ступ. (h-лест 4.52м, h-стрем 2.19м) 97882",12340₽/шт, 3 шт
